outcome,analyte,method,n,n_flagged,flag_rate,logrank_p,rr_24h,rr_72h,rr_168h,rr_720h,landmark_hours,anchor,target_sensitivity
mortality,BUN,Gaussian_trunc,6705,1661,0.2477255779269202,0.2842563275997156,1.233576913269142,1.8334203139546976,1.0301926667271404,1.1225058763574638,72.0,sensitivity,0.25
mortality,BUN,Gaussian_trunc,6705,848,0.1264727815063385,0.432914657982647,1.4264771244672827,1.1846089034863214,0.7560340380860383,0.7883751647510453,72.0,soc_rate,0.25
mortality,BUN,Gaussian_eb,6705,1596,0.2380313199105145,0.4365955331954966,2.920354387049046,1.9851674927478773,1.5177159141673124,0.8529274493159936,72.0,sensitivity,0.25
mortality,BUN,Gaussian_eb,6705,848,0.1264727815063385,0.4153619417880778,1.8597597220414055,0.956650757874402,0.8158287362853822,0.7429914858964028,72.0,soc_rate,0.25
mortality,BUN,NORMA_q_age_set,6705,1519,0.2265473527218493,0.3801851067491573,0.9153195200987292,1.6835983159302974,1.2594800091528215,0.855691735711994,72.0,sensitivity,0.25
mortality,BUN,NORMA_q_age_set,6705,858,0.1279642058165548,0.6736522699375989,0.8060018715720829,0.9490345471611292,0.9400266360661228,0.9790648963414472,72.0,soc_rate,0.25
mortality,BUN,NORMA_334f7e21,6705,858,0.1279642058165548,0.9214024354852768,0.8051882722984984,1.364051927603685,0.8383051729480946,0.9144590195611512,72.0,soc_rate,0.25
mortality,CA,Cohen_m4,7973,1371,0.1719553493039006,0.0093591001233223,1.1232756744256516,1.6169409629424942,1.6901379269450687,1.6232270339123251,0.0,sensitivity,0.25
mortality,BUN,NORMA_q_age,6705,1470,0.2192393736017897,0.5783739960136061,0.9553556105889968,1.6423289333088076,1.4793752051788274,0.9634263353127756,72.0,sensitivity,0.25
mortality,BUN,NORMA_q_age,6705,858,0.1279642058165548,0.9794105010858865,1.287249128769311,1.2458540936010916,1.169445190121985,0.8535672248208074,72.0,soc_rate,0.25
mortality,BUN,NORMA_q_age_set_co,6705,1910,0.284862043251305,0.145431209806539,0.6741891610680673,1.1502917152086187,0.8483190692283322,0.5855237659497654,72.0,sensitivity,0.25
mortality,BUN,NORMA_q_age_set_co,6705,858,0.1279642058165548,0.2176669056850462,0.8068033463462791,1.192429011342595,0.7988074221166822,0.74465207954761,72.0,soc_rate,0.25
mortality,BUN,StandardOfCare,6705,858,0.1279642058165548,4.33146188317713e-22,11.04748816916052,8.119475438120642,6.08632188620494,3.0563190860679565,72.0,sensitivity,0.25
mortality,BUN,StandardOfCare,6705,858,0.1279642058165548,4.33146188317713e-22,11.04748816916052,8.119475438120642,6.08632188620494,3.0563190860679565,72.0,soc_rate,0.25
mortality,BUN,PopRI,2891,589,0.2037357315807679,0.785582149566469,1.2830094851927327,1.2902472440735928,0.9241266976889738,0.9915752084900616,168.0,sensitivity,0.25
mortality,BUN,PopRI,2891,627,0.2168799723279142,0.8486532853492007,1.1811913121370836,1.1986801012344803,0.9665147557432036,0.9976297242924737,168.0,soc_rate,0.25
mortality,BUN,PerRI,2891,865,0.2992044275337253,0.721073580218035,0.441444444665127,1.0853409804377956,1.0469360841679316,0.7951721116332521,168.0,sensitivity,0.25
mortality,BUN,Cohen_m2,2891,782,0.2704946385333794,0.1604769068447609,0.2524325518030219,0.51106353985131,0.9039666525167096,0.9247948656299256,168.0,sensitivity,0.25
mortality,BUN,Cohen_m2,2891,627,0.2168799723279142,0.1897222141657757,0.6681208970578867,0.8009451302714373,0.7772242664265878,0.8177380998853387,168.0,soc_rate,0.25
mortality,CA,Gaussian_mle,7973,2349,0.2946193402734228,0.4831759281718154,1.7983381323667755,1.3775434140915188,1.1746482465297428,1.0288899640258415,0.0,sensitivity,0.25
