method,state,analyte,n,coverage95,width_rel,inside_pop,n_analytes
Cohen_m3,normal,WBC,124946,0.8486,0.909,0.7891,
Cohen_m3,all,ALB,74764,0.124,0.3985,0.6477,
Cohen_m3,all,ALP,48535,0.5755,0.7405,0.6109,
Cohen_m3,all,ALT,44795,0.4865,0.8239,0.5777,
Cohen_m3,all,AST,46065,0.3921,0.6499,0.9989,
Cohen_m3,all,BUN,247304,0.349,0.7878,0.9033,
Cohen_m3,all,CA,252551,0.5991,0.8697,0.7635,
Cohen_m3,all,CL,261984,0.3085,0.5042,1.0,
Cohen_m3,all,CO2,383508,0.3549,0.7375,0.9538,
Cohen_m3,all,CRE,233867,0.6877,1.065,0.6352,
Cohen_m3,all,DBIL,3730,0.4737,1.4485,0.5978,
Cohen_m3,all,GLU,1054644,0.146,0.5614,0.7724,
Cohen_m3,all,HCT,269390,0.142,1.1983,0.4753,
Cohen_m3,all,HDL,31,0.5161,0.7539,0.652,
Cohen_m3,all,HGB,275041,0.3046,1.0624,0.2709,
Cohen_m3,all,K,324223,0.8012,0.9294,0.9013,
Cohen_m3,all,MCH,203328,0.774,0.8037,0.6962,
Cohen_m3,all,MCHC,216234,0.679,0.8278,0.582,
Cohen_m3,all,MCV,213107,0.9547,0.757,0.8924,
Cohen_m3,all,NA,290647,0.505,0.6635,1.0,
Cohen_m3,all,PLT,219693,0.6872,0.6458,0.9074,
Cohen_m3,all,RBC,225485,0.1874,0.9209,0.6159,
Cohen_m3,all,RDW,199814,0.5144,0.3979,0.2943,
Cohen_m3,all,TBIL,45074,0.7594,0.9237,0.8569,
Cohen_m3,all,TC,99,0.4444,0.8661,1.0,
Cohen_m3,all,TGL,853,0.415,0.6261,0.9705,
Cohen_m3,all,TP,56198,0.4488,0.6689,0.8178,
Cohen_m3,all,WBC,214523,0.6173,0.909,0.7668,
Cohen_m4,high,ALP,14524,0.6404,0.7929,0.1895,
Cohen_m4,high,ALT,13268,0.4724,1.0449,0.3028,
Cohen_m4,high,AST,13031,0.1879,0.7062,0.6918,
Cohen_m4,high,BUN,126256,0.0882,0.8018,0.7522,
Cohen_m4,high,CA,1045,0.0191,0.6672,1.0,
Cohen_m4,high,CL,68884,0.002,0.6145,1.0,
Cohen_m4,high,CO2,116368,0.0613,0.7881,0.8759,
Cohen_m4,high,CRE,62706,0.3767,0.7265,0.0423,
Cohen_m4,high,DBIL,1815,0.0,0.3418,1.0,
Cohen_m4,high,GLU,847762,0.168,0.6288,0.2275,
Cohen_m4,high,HCT,154,0.2338,0.8871,0.8653,
Cohen_m4,high,HGB,60,0.5167,1.1212,0.7404,
Cohen_m4,high,K,10722,0.0587,0.627,1.0,
Cohen_m4,high,MCH,21229,0.9134,0.8736,0.249,
Cohen_m4,high,MCHC,378,0.0132,0.7731,1.0,
Cohen_m4,high,MCV,19266,0.9328,0.8597,0.5086,
Cohen_m4,high,NA,22064,0.0737,0.7162,0.9729,
Cohen_m4,high,PLT,3045,0.353,0.6989,1.0,
Cohen_m4,high,RBC,296,0.6486,0.9922,0.7074,
Cohen_m4,high,RDW,143680,0.5843,0.4305,0.0,
