analyte,direction,target_sensitivity,method,n_strata,n,n_events,prevalence,flag_rate,sensitivity,specificity,ppv,rr,tp,fp,tn,fn,n_population,n_events_population,auc,auc_lo,auc_hi,auprc,auprc_norm,auc_within_position,n_endpoints,age_band,sex,tp_norm,fp_norm,pop_pos,pop_neg,gap_hours,horizon_hours,min_normal_frac
ALT,low,0.2,NORMA_q_age_set_co,13.0,2783,78,0.028072033898305,0.0579356810175761,0.1923076923076923,0.9478743068391868,0.0983184928008459,3.5023644227924,15.0,141.0,2564.0,63.0,3812.0,107.0,0.6638276695577989,0.6022420295940123,0.7254133095215856,0.0508059491849599,1.8127302125864548,0.3731251846916301,,all,all,,,,,24.0,168.0,0.8
AST,high,0.2,PopRI,14.0,3270,218,0.066580310880829,0.0627211300200341,0.2018348623853211,0.9469200524246396,0.2101770095357206,3.1567441899139363,44.0,162.0,2890.0,174.0,3860.0,257.0,0.7350406411196748,0.7008914549815463,0.7691898272578034,0.170372909349754,2.55559364024631,0.5697632967347459,,all,all,,,,,24.0,168.0,0.8
AST,high,0.2,PerRI,14.0,3270,218,0.066580310880829,0.1093568913836875,0.2018348623853211,0.9000655307994757,0.1205460339582978,1.8105357629534224,44.0,305.0,2747.0,174.0,3860.0,257.0,0.6226508110187935,0.5833493595298317,0.6619522625077553,0.1007456011448471,1.5111840171727078,0.4934640792928176,,all,all,,,,,24.0,168.0,0.8
AST,high,0.2,Cohen_m2,14.0,3270,218,0.066580310880829,0.0642360418344257,0.2064220183486238,0.9459370904325032,0.2132864022452151,3.20344557457794,45.0,165.0,2887.0,173.0,3860.0,257.0,0.6703560306371518,0.6294392597635278,0.7112728015107758,0.1457134614551744,2.185701921827617,0.4721578174511598,,all,all,,,,,24.0,168.0,0.8
AST,high,0.2,Cohen_m3,14.0,3270,218,0.066580310880829,0.0754654451321136,0.2064220183486238,0.9341415465268676,0.1826932845759958,2.743953612697836,45.0,201.0,2851.0,173.0,3860.0,257.0,0.7074170043406639,0.6721286245595669,0.7427053841217609,0.1417971847210969,2.1269577708164538,0.544977295615078,,all,all,,,,,24.0,168.0,0.8
AST,high,0.2,Cohen_m4,14.0,3270,218,0.066580310880829,0.0590221398890369,0.2064220183486238,0.9521625163827,0.2379801448591223,3.5743321367946,45.0,146.0,2906.0,173.0,3860.0,257.0,0.6555439657556482,0.6145070470046777,0.6965808845066187,0.1470038749227333,2.2050581238410008,0.5141784080017127,,all,all,,,,,24.0,168.0,0.8
AST,high,0.2,Gaussian_mle,14.0,3270,218,0.066580310880829,0.0815362461851191,0.1972477064220183,0.9262778505897772,0.1521450649274196,2.2851359946297265,43.0,225.0,2827.0,175.0,3860.0,257.0,0.6586461577308307,0.6204830640985561,0.6968092513631052,0.1209361384042226,1.814042076063339,0.4979762902930105,,all,all,,,,,24.0,168.0,0.8
AST,high,0.2,Gaussian_trunc,14.0,3270,218,0.066580310880829,0.1180600688749881,0.2064220183486238,0.8895806028833552,0.1182427026163476,1.775940980930358,45.0,337.0,2715.0,173.0,3860.0,257.0,0.5861384323108926,0.5470805298780796,0.6251963347437055,0.0871502373161011,1.3072535597415178,0.4966717190397194,,all,all,,,,,24.0,168.0,0.8
AST,high,0.2,Gaussian_eb,14.0,3270,218,0.066580310880829,0.0869850459938437,0.1972477064220183,0.9203800786369594,0.1426145991881292,2.1419935909189847,43.0,243.0,2809.0,175.0,3860.0,257.0,0.6560489737516082,0.617984650868676,0.6941132966345404,0.1159513759525571,1.7392706392883577,0.5023943726880239,,all,all,,,,,24.0,168.0,0.8
AST,high,0.2,NORMA_q_age_set,14.0,3270,218,0.066580310880829,0.096706340765993,0.1972477064220183,0.9108781127129753,0.1282784290203996,1.926672124586548,43.0,272.0,2780.0,175.0,3860.0,257.0,0.6686651556506789,0.6315431919307565,0.7057871193706012,0.1192151429022693,1.78822714353404,0.5448232937793261,,all,all,,,,,24.0,168.0,0.8
AST,high,0.2,NORMA_334f7e21,14.0,3270,218,0.066580310880829,0.0939312922199057,0.1972477064220183,0.9141546526867628,0.1320682083317928,1.9835925453724523,43.0,262.0,2790.0,175.0,3860.0,257.0,0.6718575276251397,0.6345424246247965,0.709172630625483,0.1226173682796979,1.8392605241954687,0.5524934640690794,,all,all,,,,,24.0,168.0,0.8
AST,high,0.2,NORMA_q_age,14.0,3270,218,0.066580310880829,0.0900934306823672,0.1972477064220183,0.9177588466579292,0.1376941401366896,2.068090976372071,43.0,251.0,2801.0,175.0,3860.0,257.0,0.6724452006204384,0.6357130557839221,0.7091773454569548,0.120312438753668,1.80468658130502,0.5540829704313613,,all,all,,,,,24.0,168.0,0.8
AST,high,0.2,NORMA_q_set,14.0,3270,218,0.066580310880829,0.0915735055093165,0.1972477064220183,0.9161205766710354,0.1354686314647081,2.0346650484582627,43.0,256.0,2796.0,175.0,3860.0,257.0,0.6766325585869396,0.6398117997130631,0.7134533174608161,0.1221819310678638,1.8327289660179584,0.553990232761231,,all,all,,,,,24.0,168.0,0.8
