subset,analyte,method,outcome,exposure,encoding,n,n_events,level,HR,HR_lower,HR_upper,p_value,p_fdr
all,AST,NORMA_q_age,mortality,first,z,14865,1695,z,1.152,1.117,1.188,0.0,3.107727140417884e-19
all,AST,NORMA_q_age,mortality,first,category,14865,1695,low,1.045,0.812,1.344,0.7351,0.7605879989263179
all,AST,NORMA_q_age,mortality,first,category,14865,1695,high,1.743,1.58,1.922,0.0,4.881020128607578e-28
all,AST,NORMA_q_age_set_co,mortality,first,binary,14865,1695,abnormal,1.621,1.473,1.784,0.0,9.869552119180244e-23
all,AST,NORMA_q_age_set_co,mortality,first,z,14865,1695,z,1.117,1.084,1.15,0.0,3.080646537621559e-13
all,AST,NORMA_q_age_set_co,mortality,first,category,14865,1695,low,1.145,0.928,1.412,0.20565,0.2510259551002678
all,AST,NORMA_q_age_set_co,mortality,first,category,14865,1695,high,1.717,1.555,1.895,0.0,4.067684624948106e-26
all,BUN,PopRI,mortality,first,binary,68476,6311,abnormal,1.835,1.732,1.944,0.0,2.273793074940944e-93
all,BUN,PopRI,mortality,first,z,68476,6311,z,1.143,1.133,1.154,0.0,5.3802736232449416e-176
all,BUN,PopRI,mortality,first,category,68476,6311,low,0.592,0.503,0.696,0.0,7.36906814438256e-10
all,BUN,PopRI,mortality,first,category,68476,6311,high,2.017,1.902,2.138,0.0,2.1537387864294806e-121
all,BUN,PerRI,mortality,first,binary,68470,6311,abnormal,1.902,1.776,2.037,0.0,4.562863946116667e-75
all,BUN,PerRI,mortality,first,z,68470,6311,z,1.101,1.09,1.111,0.0,6.97806121052205e-87
all,BUN,PerRI,mortality,first,category,68470,6311,low,1.378,1.259,1.508,0.0,9.90695897904479e-12
all,BUN,PerRI,mortality,first,category,68470,6311,high,2.074,1.935,2.224,0.0,8.171671404775204e-93
all,BUN,Cohen_m2,mortality,first,binary,68476,6311,abnormal,1.736,1.63,1.848,0.0,8.822083488865948e-66
all,BUN,Cohen_m2,mortality,first,z,68476,6311,z,1.131,1.121,1.141,0.0,1.9242114677231532e-160
all,BUN,Cohen_m2,mortality,first,category,68476,6311,low,0.767,0.686,0.858,0.0,7.529279046720761e-06
all,BUN,Cohen_m2,mortality,first,category,68476,6311,high,1.987,1.865,2.118,0.0,2.523610763834092e-98
all,BUN,Cohen_m3,mortality,first,binary,68476,6311,abnormal,1.763,1.657,1.877,0.0,3.3220441773708126e-70
all,BUN,Cohen_m3,mortality,first,z,68476,6311,z,1.12,1.111,1.129,0.0,1.056372777853791e-177
all,BUN,Cohen_m3,mortality,first,category,68476,6311,low,0.778,0.694,0.871,1e-05,3.277040931191347e-05
all,BUN,Cohen_m3,mortality,first,category,68476,6311,high,2.008,1.885,2.139,0.0,3.438013075040768e-102
all,BUN,Cohen_m4,mortality,first,binary,68476,6311,abnormal,1.737,1.633,1.848,0.0,1.4489590736996087e-67
all,BUN,Cohen_m4,mortality,first,z,68476,6311,z,1.116,1.107,1.125,0.0,4.4604387374184606e-157
all,BUN,Cohen_m4,mortality,first,category,68476,6311,low,0.788,0.706,0.88,2e-05,4.6553251016666e-05
all,BUN,Cohen_m4,mortality,first,category,68476,6311,high,1.993,1.871,2.123,0.0,4.186807802749007e-101
all,BUN,Gaussian_mle,mortality,first,binary,67383,6193,abnormal,1.823,1.714,1.939,0.0,1.1733672391666579e-80
all,BUN,Gaussian_mle,mortality,first,z,67383,6193,z,1.116,1.107,1.125,0.0,2.201888713098095e-154
all,BUN,Gaussian_mle,mortality,first,category,67383,6193,low,0.763,0.669,0.869,5e-05,0.0001055666905262
all,BUN,Gaussian_mle,mortality,first,category,67383,6193,high,2.017,1.895,2.147,0.0,6.998185000468668e-107
all,BUN,Gaussian_trunc,mortality,first,binary,67383,6193,abnormal,1.669,1.561,1.784,0.0,3.4209844633853655e-50
all,BUN,Gaussian_trunc,mortality,first,z,67383,6193,z,1.113,1.104,1.122,0.0,4.1760415414657135e-139
all,BUN,Gaussian_trunc,mortality,first,category,67383,6193,low,1.019,0.92,1.129,0.71573,0.7420556788075413
all,BUN,Gaussian_trunc,mortality,first,category,67383,6193,high,1.823,1.703,1.951,0.0,1.3415976590113334e-66
all,BUN,Gaussian_eb,mortality,first,binary,68476,6311,abnormal,1.789,1.687,1.897,0.0,9.930766343673671e-83
all,BUN,Gaussian_eb,mortality,first,z,68476,6311,z,1.137,1.127,1.147,0.0,5.3906299498352524e-173
all,BUN,Gaussian_eb,mortality,first,category,68476,6311,low,0.637,0.549,0.738,0.0,5.5200805608788205e-09
all,BUN,Gaussian_eb,mortality,first,category,68476,6311,high,1.974,1.86,2.096,0.0,5.852992434244973e-110
all,BUN,NORMA_q_age_set,mortality,first,binary,68476,6311,abnormal,1.822,1.718,1.933,0.0,3.7955237092487496e-88
all,BUN,NORMA_q_age_set,mortality,first,z,68476,6311,z,1.252,1.227,1.277,0.0,1.1004219149484386e-108
all,BUN,NORMA_q_age_set,mortality,first,category,68476,6311,low,0.626,0.537,0.729,0.0,4.438590374283468e-09
all,BUN,NORMA_q_age_set,mortality,first,category,68476,6311,high,2.009,1.893,2.132,0.0,6.386893193745295e-116
all,BUN,NORMA_334f7e21,mortality,first,binary,68476,6311,abnormal,1.796,1.693,1.905,0.0,3.917805072681067e-83
all,BUN,NORMA_334f7e21,mortality,first,z,68476,6311,z,1.193,1.174,1.212,0.0,5.074375257017652e-104
all,BUN,NORMA_334f7e21,mortality,first,category,68476,6311,low,0.616,0.53,0.717,0.0,1.0554135059052462e-09
all,BUN,NORMA_334f7e21,mortality,first,category,68476,6311,high,1.982,1.867,2.104,0.0,2.122341688738065e-110
all,BUN,NORMA_q_age,mortality,first,binary,68476,6311,abnormal,1.813,1.709,1.923,0.0,2.5132465525785065e-86
all,BUN,NORMA_q_age,mortality,first,z,68476,6311,z,1.206,1.187,1.225,0.0,2.1839629799279726e-114
all,BUN,NORMA_q_age,mortality,first,category,68476,6311,low,0.63,0.542,0.732,0.0,4.170752179010014e-09
all,BUN,NORMA_q_age,mortality,first,category,68476,6311,high,2.002,1.886,2.125,0.0,2.72120638542276e-114
