analyte,method,outcome,subset,n_patients,n_events,anchor,sensitivity,specificity,ppv,n_flagged
HGB,PerRI,aki,pop_normal,6849.0,626.0,native,0.5191693290734825,0.52209545235417,0.0985147014246741,3299.0
HGB,PerRI,aki,pop_normal,6849.0,626.0,rate_of:PerRI,0.5191693290734825,0.52209545235417,0.0985147014246741,3299.0
HGB,NORMA_q_age_set,aki,pop_normal,6849.0,626.0,native,0.0942492012779552,0.9241523381005946,0.1111111111111111,531.0
HGB,NORMA_q_age_set,aki,pop_normal,6849.0,626.0,rate_of:PerRI,0.5079872204472844,0.5209705929615941,0.0963928463170657,3299.0
K,PerRI,aki,pop_normal,64408.0,9524.0,native,0.3817723645527089,0.6272502004227097,0.1509089399850585,24094.0
K,PerRI,aki,pop_normal,64408.0,9524.0,rate_of:PerRI,0.3817723645527089,0.6272502004227097,0.1509089399850585,24094.0
K,NORMA_q_age_set,aki,pop_normal,64408.0,9524.0,native,0.2249055018899622,0.828620362947307,0.1854866643574645,11548.0
K,NORMA_q_age_set,aki,pop_normal,64408.0,9524.0,rate_of:PerRI,0.4384712305753885,0.6370891334450842,0.1733211587947206,24094.0
MCH,PerRI,aki,pop_normal,36980.0,5729.0,native,0.5032291848490138,0.5171674506415794,0.1604162029824171,17972.0
MCH,PerRI,aki,pop_normal,36980.0,5729.0,rate_of:PerRI,0.5032291848490138,0.5171674506415794,0.1604162029824171,17972.0
MCH,NORMA_q_age_set,aki,pop_normal,36980.0,5729.0,native,0.128469191831035,0.8952993504207866,0.1836327345309381,4008.0
MCH,NORMA_q_age_set,aki,pop_normal,36980.0,5729.0,rate_of:PerRI,0.5315063710944319,0.5223512847588877,0.1694302247941242,17972.0
MCHC,PerRI,aki,pop_normal,31506.0,4849.0,native,0.4108063518251186,0.5791724500131298,0.1507948523845571,13210.0
MCHC,PerRI,aki,pop_normal,31506.0,4849.0,rate_of:PerRI,0.4108063518251186,0.5791724500131298,0.1507948523845571,13210.0
MCHC,NORMA_q_age_set,aki,pop_normal,31506.0,4849.0,native,0.077954217364405,0.9169824061222192,0.1458896179081436,2591.0
MCHC,NORMA_q_age_set,aki,pop_normal,31506.0,4849.0,rate_of:PerRI,0.4402969684471025,0.5845368946243014,0.1616199848599545,13210.0
MCV,PerRI,aki,pop_normal,46506.0,7240.0,native,0.5720994475138121,0.422477461417002,0.1544427458145344,26819.0
MCV,PerRI,aki,pop_normal,46506.0,7240.0,rate_of:PerRI,0.5720994475138121,0.422477461417002,0.1544427458145344,26819.0
