model_type,method,outcome,subset,panel,n_test,n_events_test,concordance_test,concordance_lower,concordance_upper,time_window
penalized_cox,Gaussian_mle,prolonged_los,all,all,1657.0,292.0,0.5286,0.4912,0.5648,1
penalized_cox,Gaussian_mle,prolonged_los,all,all,1657.0,292.0,0.5286,0.4912,0.5648,14
penalized_cox,Gaussian_mle,prolonged_los,all,all,1657.0,292.0,0.5286,0.4912,0.5648,2
penalized_cox,Gaussian_mle,prolonged_los,all,all,1657.0,292.0,0.5286,0.4912,0.5648,30
penalized_cox,Gaussian_mle,prolonged_los,all,all,1657.0,292.0,0.5286,0.4912,0.5648,7
penalized_cox,Gaussian_mle,prolonged_los,all,all,1657.0,292.0,0.5286,0.4912,0.5648,all
penalized_cox,Gaussian_mle,prolonged_los,all_eval_pop_normal,all,1657.0,292.0,0.5286,0.4912,0.5648,1
penalized_cox,Gaussian_mle,prolonged_los,all_eval_pop_normal,all,1657.0,292.0,0.5286,0.4912,0.5648,14
penalized_cox,Gaussian_mle,prolonged_los,all_eval_pop_normal,all,1657.0,292.0,0.5286,0.4912,0.5648,2
penalized_cox,Gaussian_mle,prolonged_los,all_eval_pop_normal,all,1657.0,292.0,0.5286,0.4912,0.5648,30
penalized_cox,Gaussian_mle,prolonged_los,all_eval_pop_normal,all,1657.0,292.0,0.5286,0.4912,0.5648,7
penalized_cox,Gaussian_mle,prolonged_los,all_eval_pop_normal,all,1657.0,292.0,0.5286,0.4912,0.5648,all
penalized_cox,Gaussian_mle,sepsis,all,all,1655.0,364.0,0.5539,0.5277,0.5807,1
penalized_cox,Gaussian_mle,sepsis,all,all,1655.0,364.0,0.5539,0.5277,0.5807,14
penalized_cox,Gaussian_mle,sepsis,all,all,1655.0,364.0,0.5539,0.5277,0.5807,2
penalized_cox,Gaussian_mle,sepsis,all,all,1655.0,364.0,0.5539,0.5277,0.5807,30
penalized_cox,Gaussian_mle,sepsis,all,all,1655.0,364.0,0.5539,0.5277,0.5807,7
penalized_cox,Gaussian_mle,sepsis,all,all,1655.0,364.0,0.5539,0.5277,0.5807,all
penalized_cox,Gaussian_mle,sepsis,all_eval_pop_normal,all,1655.0,364.0,0.5539,0.5277,0.5807,1
penalized_cox,Gaussian_mle,sepsis,all_eval_pop_normal,all,1655.0,364.0,0.5539,0.5277,0.5807,14
penalized_cox,Gaussian_mle,sepsis,all_eval_pop_normal,all,1655.0,364.0,0.5539,0.5277,0.5807,2
penalized_cox,Gaussian_mle,sepsis,all_eval_pop_normal,all,1655.0,364.0,0.5539,0.5277,0.5807,30
penalized_cox,Gaussian_mle,sepsis,all_eval_pop_normal,all,1655.0,364.0,0.5539,0.5277,0.5807,7
penalized_cox,Gaussian_mle,sepsis,all_eval_pop_normal,all,1655.0,364.0,0.5539,0.5277,0.5807,all
penalized_cox,Gaussian_trunc,aki,all,all,1657.0,238.0,0.527,0.4908,0.5554,1
penalized_cox,Gaussian_trunc,aki,all,all,1657.0,238.0,0.527,0.4908,0.5554,14
penalized_cox,Gaussian_trunc,aki,all,all,1657.0,238.0,0.527,0.4908,0.5554,2
penalized_cox,Gaussian_trunc,aki,all,all,1657.0,238.0,0.527,0.4908,0.5554,30
penalized_cox,Gaussian_trunc,aki,all,all,1657.0,238.0,0.527,0.4908,0.5554,7
penalized_cox,Gaussian_trunc,aki,all,all,1657.0,238.0,0.527,0.4908,0.5554,all
penalized_cox,Gaussian_trunc,aki,all_eval_pop_normal,all,1657.0,238.0,0.527,0.4908,0.5554,1
penalized_cox,Gaussian_trunc,aki,all_eval_pop_normal,all,1657.0,238.0,0.527,0.4908,0.5554,14
penalized_cox,Gaussian_trunc,aki,all_eval_pop_normal,all,1657.0,238.0,0.527,0.4908,0.5554,2
penalized_cox,Gaussian_trunc,aki,all_eval_pop_normal,all,1657.0,238.0,0.527,0.4908,0.5554,30
penalized_cox,Gaussian_trunc,aki,all_eval_pop_normal,all,1657.0,238.0,0.527,0.4908,0.5554,7
