method,state,analyte,n,coverage95,width_rel,inside_pop,n_analytes
NORMA_q_age_set,all,PLT,38,0.8158,0.9819,0.9134,
NORMA_q_age_set,all,RBC,51,0.6078,1.2732,0.734,
NORMA_q_age_set,all,RDW,43,0.7442,0.9517,0.9248,
NORMA_q_age_set,all,TBIL,54,0.6852,1.1259,0.8251,
NORMA_q_age_set,all,TC,24,0.4583,1.124,0.7809,
NORMA_q_age_set,all,TGL,28,0.3214,1.2955,0.7713,
NORMA_q_age_set,all,TP,24,0.625,1.0146,0.8717,
NORMA_q_age_set,all,WBC,59,0.8136,1.2476,0.7332,
Cohen_m2,all,median,1018,0.5769,0.9421,0.7852,29.0
Cohen_m2,high,median,62,0.1530999999999999,1.17775,0.3508,2.0
Cohen_m2,normal,median,346,0.70415,0.7536499999999999,0.8234999999999999,12.0
Cohen_m3,all,median,1018,0.5758,0.9316,0.79,29.0
Cohen_m3,high,median,62,0.1144,1.1513,0.48855,2.0
Cohen_m3,normal,median,346,0.75665,0.75335,0.8637999999999999,12.0
Cohen_m4,all,median,1018,0.5758,0.8733,0.8159,29.0
Cohen_m4,high,median,62,0.12955,1.1273,0.43565,2.0
Cohen_m4,normal,median,346,0.62915,0.70665,0.88045,12.0
Gaussian_eb,all,median,1018,0.6071,1.0,1.0,29.0
Gaussian_eb,high,median,62,0.0,1.0,1.0,2.0
Gaussian_eb,normal,median,346,1.0,1.0,1.0,12.0
Gaussian_mle,all,median,1018,0.6136,1.0,0.8698,29.0
Gaussian_mle,high,median,62,0.0345,1.0,0.9569,2.0
Gaussian_mle,normal,median,346,0.9158,1.0152,0.86305,12.0
Gaussian_trunc,all,median,1018,0.5,1.0274,0.7288,29.0
Gaussian_trunc,high,median,62,0.151,1.0,0.9637,2.0
Gaussian_trunc,normal,median,346,0.6699999999999999,1.2636,0.68055,12.0
NORMA_q_age_set,all,median,1018,0.6818,1.1743,0.7817,29.0
NORMA_q_age_set,high,median,62,0.21785,3.4506,0.28985,2.0
NORMA_q_age_set,normal,median,346,0.946,1.10255,0.85415,12.0
PerRI,all,median,1018,0.9355,1.911,0.5059,29.0
PerRI,high,median,62,1.0,5.9253,0.17955,2.0
PerRI,normal,median,346,0.96355,1.37335,0.63965,12.0
PopRI,all,median,1018,0.6071,1.0,1.0,29.0
PopRI,high,median,62,0.0,1.0,1.0,2.0
PopRI,normal,median,346,1.0,1.0,1.0,12.0
