subset,analyte,method,outcome,exposure,encoding,level,n,n_events,HR,HR_lower,HR_upper,p_value,p_fdr
all,ALP,PopRI,t2d,first,binary,abnormal,13718.0,5129.0,1.52,1.41,1.63,1.0402738965286297e-29,2.6174633525559065e-29
all,ALP,PerRI,t2d,first,binary,abnormal,13718.0,5129.0,1.38,1.22,1.57,5.565270486412871e-07,7.001469321616194e-07
all,ALP,NORMA,t2d,first,binary,abnormal,13718.0,5129.0,1.6,1.47,1.74,8.634149014913255e-28,1.980775362244805e-27
all,ALT,PopRI,t2d,first,binary,abnormal,17349.0,6453.0,1.6,1.49,1.72,1.046525658805308e-37,3.4012083911172507e-37
all,ALT,PerRI,t2d,first,binary,abnormal,17349.0,6453.0,1.48,1.3,1.67,8.465420048819452e-10,1.179112078228424e-09
all,ALT,NORMA,t2d,first,binary,abnormal,17349.0,6453.0,1.73,1.61,1.87,1.0270902122058732e-46,5.722359753718436e-46
all,AST,PopRI,t2d,first,binary,abnormal,17360.0,6460.0,1.66,1.56,1.77,9.275329937000538e-56,9.043446688575523e-55
all,AST,PerRI,t2d,first,binary,abnormal,17360.0,6460.0,1.62,1.44,1.84,1.2101806762139548e-14,1.9665435988476763e-14
all,AST,NORMA,t2d,first,binary,abnormal,17360.0,6460.0,1.71,1.59,1.83,1.3477258435923258e-50,8.760217983350117e-50
all,BUN,PopRI,t2d,first,binary,abnormal,18207.0,6968.0,1.69,1.56,1.83,5.422713733120554e-38,1.8390072660147967e-37
all,BUN,PerRI,t2d,first,binary,abnormal,18207.0,6968.0,1.55,1.38,1.74,1.2503464479167626e-13,1.9505404587501493e-13
all,BUN,NORMA,t2d,first,binary,abnormal,18207.0,6968.0,1.7,1.57,1.84,2.9742315712002894e-39,1.0545002843346479e-38
all,CA,PopRI,t2d,first,binary,abnormal,10526.0,3971.0,1.66,1.53,1.8,2.2977751627412213e-34,6.638017136807973e-34
all,CA,PerRI,t2d,first,binary,abnormal,10526.0,3971.0,1.47,1.33,1.64,5.672411456952955e-13,8.193483215598713e-13
all,CA,NORMA,t2d,first,binary,abnormal,10526.0,3971.0,1.73,1.57,1.89,5.033375612714367e-31,1.3086776593057352e-30
all,CL,PopRI,t2d,first,binary,abnormal,220.0,128.0,1.36,0.72,2.59,0.3464216601926448,0.3555380196713987
all,CL,PerRI,t2d,first,binary,abnormal,220.0,128.0,2.15,0.77,5.95,0.1422461335198669,0.1479359788606616
all,CL,NORMA,t2d,first,binary,abnormal,220.0,128.0,1.78,0.98,3.22,0.0574204717040361,0.0613533807248605
all,CRE,PopRI,t2d,first,binary,abnormal,20075.0,7643.0,1.67,1.58,1.77,3.969471120889322e-70,5.160312457156118e-69
all,CRE,PerRI,t2d,first,binary,abnormal,20075.0,7643.0,1.5,1.39,1.63,1.8829172576480133e-23,3.8649354235932905e-23
